phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
TOF	other	1	19900106-0	Lockheed L-1329 JetStar 731	Grecoair	MIA	DAL	Miami International Airport, FL (MIA/KMIA), United States of America	Dallas-Love Field, TX (DAL/KDAL), United States of America
MNV	military	10	19900511-2	Transall C-160D	Luftwaffe	ETNW		Wunstorf AB (ETNW), Germany	?
ICL	passDomestic	25	19900518-2	Beechcraft 1900C-1	Aerolift Philippines	MNL	SUG	Manila International Airport (MNL/RPLL), Philippines	Surigao Airport (SUG/RPMS), Philippines
MNV	other	2	19900519-0	Douglas C-53D-DO (DC-3)	K&K Aircraft	MRB	WGO	Martinsburg-Eastern West Virginia Regional Airport/Shepherd Field, WV (MRB/KMRB), United States of America	Winchester Municipal Airport, VA (WGO), United States of America
TOF	cargo	2	19900606-0	de Havilland Canada DHC-6 Twin Otter 300	Ptarmigan Airways			Thistle Lake, NT, Canada	?
APR	passDomestic	22	19900606-1	Fairchild FH-227B	TABA - Transportes Aéreos da Bacia Amazônica	BEL	ATM	Belém/Val-de-Cans International Airport , PA (BEL/SBBE), Brazil	Altamira Airport, PA (ATM/SBHT), Brazil
ENR	passDomestic	8	19900705-2	IRMA/Britten-Norman BN-2B-21 Islander	Douglas Airways			?	?
UNK	other	2	19900712-1	Britten-Norman BN-2A-8 Islander	Eagle Air Services			?	?
ENR	military	5	19900715-0	Antonov 32	Indian Air Force - IAF	VOTX	TRV	Tambaram Air Force Station (VOTX), India	Thiruvananthapuram International Airport (TRV/VOTV), India
APR	passDomestic	46	19900801-1	Yakovlev 40	Aeroflot / Armenia	EVN		Yerevan-Zvartnots Airport (EVN/UDYZ), Armenia	Stepanakert Airport, Azerbaijan
ICL	military	83	19900810-1	Antonov 12	Democratic Republic of Afghanistan Air Force (DRAAF)	OASD		Shindand (OASD), Afghanistan	?
APR	other	1	19900813-0	Rockwell 1121 Jet Commander	Aviex Jet		CZM	?	Cozumel Airport (CZM/MMCZ), Mexico
ENR	military	18	19900821-1	Beechcraft 1900C-1	Republic of China Air Force - ROCAF	TSA	CYI	Taipei-Sung Shan Airport (TSA/RCSS), Taiwan	Chiayi Airport (CYI/RCKU), Taiwan
TOF	exec	3	19900823-0	Grumman G-159 Gulfstream I	Rowan Drilling Comp. Marine	IAH	MSY	Houston-Intercontinental Airport, TX (IAH/KIAH), United States of America	New Orleans International Airport, LA (MSY/KMSY), United States of America
LDG	military	1	19900825-0	Lockheed C-130H Hercules	Royal Malaysian Air Force - RMAF	KCH	SBW	Kuching Airport (KCH/WBGG), Malaysia	Sibu Airport (SBW/WBGS), Malaysia
ICL	military	13	19900829-0	Lockheed C-5A Galaxy	United States Air Force - USAF	RMS	FRF	Ramstein AFB (RMS/ETAR), Germany	Frankfurt-Rhein-Main AFB (FRF/EDAF), Germany
ENR	other	18	19900911-0	Boeing 727-247	Faucett	KEF	YQX	Reykjavík-Keflavík International Airport (KEF/BIKF), Iceland	Gander Airport, NF (YQX/CYQX), Canada
ENR	private	2	19900911-1	Morane Saulnier MS.760B Paris	Stonewall Transport	ABQ	LRU	Albuquerque International Airport, NM (ABQ/KABQ), United States of America	Las Cruces Municipal Airport, NM (LRU/KLRU), United States of America
APR	passDomestic	4	19900914-0	Yakovlev 42	Aeroflot, North Kavkaz Civil Aviation Directorate	VOG	SVX	Volgograd Airport (VOG/URWW), Russia	Sverdlovsk-Koltsovo Airport (SVX/USSS), Russia
TOF	passDomestic	2	19900914-1	Cessna 208 Caravan I	Placido Ramirez Buitrago	PEI	CLO	Pereira-Matecaña Airport (PEI/SKPE), Colombia	Cali Airport (CLO/SKCL), Colombia
TOF	other	1	19900920-1	Boeing 707-321B	Omega Air Inc	MZJ	DMA	Marana-Pinal Air Park, AZ (MZJ), United States of America	Tucson-Davis Monthan AFB, AZ (DMA/KDMA), United States of America
ICL	passDomestic	12	19900920-2	Embraer 110P1 Bandeirante	Governo do Estado de Pernambuco	FEN	REC	Fernando de Noronha Airport, FN (FEN/SBFN), Brazil	Recife-Guararapes International Airport, PE (REC/SBRF), Brazil
APR	private	4	19900924-0	Cessna 500 Citation I	Hi-Tech Helicopters	VNY	SBP	Los Angeles-Van Nuys Airport, CA (VNY), United States of America	San Luis Obispo-County Airport, CA (SBP/KSBP), United States of America
APR	military	2	19900924-1	Beechcraft 200 Super King Air	Svensk Flygvapnet (Swedish Air Force)		HAD	?	Halmstad Airport (HAD/ESMT), Sweden
LDG	passDomestic	128	19901002-3	Boeing 737-247	Xiamen Airlines	XMN	CAN	Xiamen Airport (XMN/ZSAM), China	Guangzhou-Baiyun Airport (CAN/ZGGG), China
APR	cargo	9	19901010-0	Antonov 8	MAP Novosibirsk APO		UNNE	Moskva (unknown airport), Russia	Novosibirsk-Yeltsovka Airport (UNNE), Russia
STD	passDomestic	128	19901002-4	Boeing 757-21B	China Southern Airlines	CAN	SHA	Guangzhou-Baiyun Airport (CAN/ZGGG), China	Shanghai-Hongqiao Airport (SHA/ZSSS), China
ENR	cargo	3	19901019-0	Douglas C-47B-40-DK (DC-3)	Bolivian Air Flight International-BAFIN	SBL	LPB	Santa Ana-Yacuma Airport (SBL/SLSA), Bolivia	La Paz-El Alto Airport (LPB/SLLP), Bolivia
APR	passDomestic	11	19901024-0	Yakovlev 40S2	Cubana de Aviación	CMW	SCU	Camagüey-Ign Agramonte International Airport (CMW/MUCM), Cuba	Santiago-Antonio Maceo Airport (SCU/MUCU), Cuba
APR	military	3	19901029-0	de Havilland Canada DHC-6 Twin Otter 100	Royal Norwegian Air Force - RNoAF		HVG	?	Honningsvåg-Valan Airport (HVG/ENHV), Norway
TOF	military	9	19901112-0	de Havilland Canada C-115 Buffalo (DHC-5)	Força Aérea Brasileira - FAB	GIG	SBMT	Rio de Janeiro-Galeão International Airport, RJ (GIG/SBGL), Brazil	São Paulo-Campo de Marte Airport, SP (SBMT), Brazil
APR	passInternational	46	19901114-0	McDonnell Douglas DC-9-32	Alitalia	LIN	ZRH	Milano-Linate Airport (LIN/LIML), Italy	Zürich-Kloten Airport (ZRH/LSZH), Switzerland
APR	passDomestic	38	19901121-0	de Havilland Canada DHC-8-103	Bangkok Airways	BKK	USM	Bangkok-Don Muang International Airport (BKK/VTBD), Thailand	Koh Samui Airport (USM/VTSM), Thailand
ENR	passDomestic	16	19901118-0	CASA C-212 Aviocar 200	SATENA	UIB	BOG	Quibdó-El Caraño Airport (UIB/SKUI), Colombia	Bogotá-Eldorado Airport (BOG/SKBO), Colombia
APR	exec	3	19901121-3	Beechcraft 200 Super King Air	GSW Charterflug	TRS	INN	Trieste-Ronchi dei Legionari Airport (TRS/LIPQ), Italy	Innsbruck-Kranebitten Airport (INN/LOWI), Austria
LDG	military	8	19901126-0	Antonov 12	Soviet Air Force	TAS	ALA	Tashkent Airport (TAS/UTTT), Uzbekistan	Alma-Ata Airport (ALA/UAAA), Kazakhstan
TXI	passDomestic	8	19901203-1	Douglas DC-9-14	Northwest Airlines	DTW	PIT	Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW), United States of America	Pittsburgh International Airport, PA (PIT/KPIT), United States of America
APR	cargo	10	19901204-0	Boeing 707-321C	Sudania Air Cargo		NBO	?	Nairobi-Jomo Kenyatta International Airport (NBO/HKNA), Kenya
UNK	military	5	19901204-1	Douglas C-47	Fuerza Aérea Salvadoreña			?	?
UNK	other	5	19909999-5	Antonov 2P	Aeroflot, Krasnoyarsk Civil Aviation Directorate			?	?
APR	cargo	1	19901221-0	Cessna 208 Caravan I		CDB	KFP	Cold Bay Airport, AK (CDB/PACD), United States of America	False Pass Airport, AK (KFP), United States of America
PBT	passDomestic	8	19900511-1	Boeing 737-3Y0	Philippine Air Lines	MNL	ILO	Manila-Ninoy Aquino International Airport (MNL/RPLL), Philippines	Iloilo-Mandurriao Airport (ILO/RPVI), Philippines
ENR	military	22	19910110-1	CASA C-212 Aviocar 200	Marina Venezolana	VIG	MRD	El Vigia Airport (VIG/SVVG), Venezuela	Mérida-A Carnevalli Airport (MRD/SVMD), Venezuela
ENR	passDomestic	1	19910107-0	McDonnell Douglas DC-8	Faucett	TRU	LIM	Trujillo Airport (TRU/SPRU), Peru	Lima-Callao International Airport (LIM/SPIM), Peru
APR	exec	5	19910111-0	Learjet 25C	Belair Táxi Aéreo			?	Belo Horizonte (unknown airport), MG, Brazil
ENR	passDomestic	1	19910130-1	CASA/IPTN NC-212 Aviocar 200	Merpati Nusantara Airlines			?	?
ENR	military	14	19910131-0	Lockheed AC-130H Hercules	United States Air Force - USAF			?	?
LDG	passDomestic	34	19910201-0	Boeing 737-3B7	USAir	CMH	LAX	Columbus-Port Columbus International Airport, OH (CMH/KCMH), United States of America	Los Angeles International Airport, CA (LAX/KLAX), United States of America
TOF	passDomestic	34	19910201-1	Swearingen SA227-AC Metro III	Skywest Airlines	LAX	PMD	Los Angeles International Airport, CA (LAX/KLAX), United States of America	Palmdale Airport, CA (PMD/KPMD), United States of America
ENR	military	63	19910205-1	Lockheed C-130H Hercules	Elleniki Polemikí Aeroporía	LGEL	VOL	Elefsis AB (LGEL), Greece	Volos-Néa Anchialos Airport (VOL/LGBL), Greece
APR	other	2	19910208-1	Beechcraft 200 Super King Air	Business Express		EPL	?	Épinal-Mirecourt Airport (EPL/LFSG), France
UNK	other	1	19910208-0	Cessna 208B Grand Caravan	Provincial Express			?	?
ENR	passDomestic	10	19910211-0	North American-Rockwell Sabreliner 60	TVA - Travel Air SA	TRC	CUU	Torreón Airport (TRC/MMTC), Mexico	Chihuahua-Gen Fierro Villalobos Airport (CUU/MMCU), Mexico
APR	other	3	19910213-0	Learjet 35A	Richmor Aviation	LAS	ASE	Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America	Aspen Airport, CO (ASE/KASE), United States of America
ENR	passDomestic	22	19910214-1	de Havilland Canada DHC-6 Twin Otter 300	Fuerza Aérea Ecuatoriana			?	?
TOF	cargo	2	19910217-2	McDonnell Douglas DC-9-15RC	Ryan International Airlines	CLE	IND	Cleveland-Hopkins International Airport, OH (CLE/KCLE), United States of America	Indianapolis International Airport, IN (IND/KIND), United States of America
LDG	passDomestic	20	19910220-0	British Aerospace BAe-146-200A	LAN Chile	PUQ	WPU	Punta Arenas-Pres Ibanez Airport (PUQ/SCCI), Chile	Puerto Williams Airport (WPU/SCGZ), Chile
UNK	military	47	19910222-0	Antonov 26	Força Aérea Popular de Angola			?	?
APR	passDomestic	25	19910303-0	Boeing 737-291	United Airlines	DEN	COS	Denver-Stapleton International Airport, CO (DEN/KDEN), United States of America	Colorado Springs-Peterson Field, CO (COS/KCOS), United States of America
APR	military	3	19910303-1	Rockwell CT-39G Sabreliner	United States Navy		NBU	?	Glenview Naval Air Station, IL (NBU), United States of America
ENR	passDomestic	1	19910304-1	Antonov 24	Aeroflot	KSZ	LED	Kotlas Airport (KSZ/ULAK), Russia	Leningrad-Pulkovo Airport (LED/ULLI), Russia
ENR	passDomestic	45	19910305-1	McDonnell Douglas DC-9-32	Linea Aeropostal Venezolana - LAV	MAR	SLSW	Maracaibo-La Chinita International Airport (MAR/SVMC), Venezuela	Santa Barbara (Versalles) Airport (SLSW), Bolivia
UNK	military	5	19910306-0	CASA C-212 Aviocar 100	Ejército del Aire			?	?
ENR	cargo	9	19910316-0	Lockheed L-100-30 Hercules	Transafrik	LAD		Luanda Airport (LAD/FNLU), Angola	?
ENR	private	10	19910316-1	Hawker Siddeley HS-125-1A		SDM	AMA	San Diego-Brown Field Municipal Airport, CA (SDM/KSDM), United States of America	Amarillo International Airport, TX (AMA/KAMA), United States of America
APR	other	4	19910318-0	Learjet 25D	Air Conesul Táxi Aéreo		BSB	?	Brasília International Airport, DF (BSB/SBBR), Brazil
APR	military	98	19910321-0	Lockheed C-130H Hercules	Royal Saudi Air Force - RSAF	JED	OERM	Jeddah-King Abdulaziz International Airport (JED/OEJN), Saudi Arabia	Rash Mishab (OERM), Saudi Arabia
ENR	military	27	19910321-1	Lockheed P-3C-150-LO Orion	United States Navy	NUQ	NUQ	Mountain View-Moffett Field, CA (NUQ/KNUQ), United States of America	Mountain View-Moffett Field, CA (NUQ/KNUQ), United States of America
ENR	military	27	19910321-2	Lockheed P-3C-155-LO Orion	United States Navy	NUQ	NUQ	Mountain View-Moffett Field, CA (NUQ/KNUQ), United States of America	Mountain View-Moffett Field, CA (NUQ/KNUQ), United States of America
LDG	passDomestic	34	19910323-0	Antonov 24RV	Aeroflot / Uzbekistan	TAS	NVI	Tashkent-Yuzhny Airport (TAS/UTTT), Uzbekistan	Navoi Airport (NVI), Uzbekistan
ICL	military	28	19910325-1	Hindustan Aeronautics Ltd. HAL-748-LFD Srs. 2M	Indian Air Force - IAF	VOYK	VOYK	Yelahanka Air Station (VOYK), India	Yelahanka Air Station (VOYK), India
UNK	military	2	19910325-3	IAI Arava 202	Aviación del Ejército Ecuatoriana - AEE			?	?
ENR	passInternational	4	19910325-4	Airbus A310	Singapore Airlines	KUL	SIN	Kuala Lumpur International Airport (KUL/WMKK), Malaysia	Singapore-Changi International Airport (SIN/WSSS), Singapore
ENR	passDomestic	6	19910404-2	Douglas C-47B-15-DK	Central Mountain Air Services	YTC	YYD	Sturdee Airport, BC (YTC), Canada	Smithers Airport, BC (YYD/CYYD), Canada
APR	passDomestic	23	19910405-0	Embraer 120RT Brasilia		ATL	BQK	Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America	Brunswick-Glynco Jetport, GA (BQK/KBQK), United States of America
APR	passDomestic	10	19910418-0	Dornier 228-212	Air Tahiti	HIX	NHV	Hiva Oa Airport (HIX/NTMN), French Polynesia	Nuku Hiva Airport (NHV/NTMD), French Polynesia
ICL	military	1	19910426-0	Lockheed P-3C Orion	Royal Australian Air Force - RAAF	CCK		Cocos Islands Airport (CCK/YPCC), Cocos (Keeling) Islands	?
APR	passDomestic	13	19910509-0	Fokker F-27 Friendship 600	Merpati Nusantara Airlines	TTE	MDC	Ternate-Babullah Airport (TTE/WAMT), Indonesia	Manado-Sam Ratulangi Airport (MDC/WAMM), Indonesia
ICL	cargo	2	19910510-0	Douglas R4D-7 (DC-3)	Four Star Air Cargo	BQN	PSE	Aguadilla-Borinquen Airport (BQN/TJBQ), Puerto Rico	Ponce-Mercedita Airport (PSE/TJPS), Puerto Rico
UNK	passDomestic	13	19910515-0	Douglas C-47B	ADES Colombia - Aerolineas del Este	VVC		Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	?
APR	cargo	2	19910516-0	Antonov 8	MAP Kom na Amu MSZ	OMS	UIIR	Omsk Airport (OMS/UNOO), Russia	Irkutsk-2 Airport (UIIR), Russia
LDG	passDomestic	15	19910523-0	Tupolev 154B-1	Aeroflot, Leningrad Civil Aviation Directorate	SUI	LED	Sukhumi-Babusheri Airport (SUI/UGSS), Georgia	Leningrad-Pulkovo Airport (LED/ULLI), Russia
APR	other	3	19910521-0	Cessna 550 Citation II	Ashaka Cement Comp.		BCU	?	Bauchi Airport (BCU), Nigeria
ENR	cargo	4	19910524-0	Ilyushin 76TD	Metro Cargo		KSH	?	Kermanshah Airport (KSH/OICC), Iran
ENR	passInternational	223	19910526-0	Boeing 767-3Z9ER	Lauda Air	BKK	VIE	Bangkok-Don Muang International Airport (BKK/VTBD), Thailand	Wien-Schwechat International Airport (VIE/LOWW), Austria
ENR	other	2	19910601-0	GAF Nomad N.24A	Agape Flights	GGT	CAP	George Town-Exuma International Airport (GGT/MYEG), Bahamas	Cap Haitien Airport (CAP/MTCH), Haiti
ICL	cargo	7	19910610-1	Lockheed C-130A Hercules	CZX Productions	LAD		Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola	?
APR	exec	4	19910617-0	Gulfstream Aerospace G-1159 Gulfstream II	Castor Trading	CCS	SVCS	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela	Charallave-Oscar Machado Zuloaga Airport (SVCS), Venezuela
UNK	other	2	19910619-0	Canadair CL-215-1A10	Transport Canada			?	?
APR	cargo	2	19910620-0	Douglas DC-6BF	Aerosucre Colombia	BOG	BAQ	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Barranquilla-Ernesto Cortissoz Airport (BAQ/SKBQ), Colombia
UNK	other	3	19910625-0	Antonov 2	Aeroflot			?	?
UNK	other	3	19910625-1	Antonov 2	Aeroflot / Latvia			?	?
LDG	passDomestic	3	19910626-0	BAC One-Eleven 402AP	Okada Air	BNI	KAN	Benin City Airport (BNI/DNBE), Nigeria	Kano International Airport (KAN/DNKN), Nigeria
ENR	cargo	10	19910626-1	Antonov 24	AKF Polet	LED	VOZ	Saint Petersburg-Pulkovo Airport (LED/ULLI), Russia	Voronezh Airport (VOZ/UUOO), Russia
ICL	other	2	19910630-0	Antonov 2	Aeroflot			?	?
ENR	passDomestic	3	19910704-0	de Havilland Canada DHC-6 Twin Otter 300	Helicol Colombia		EYP	?	El Yopal Airport (EYP/SKYP), Colombia
ICL	passDomestic	15	19910709-0	CASA C-212 Aviocar 200	Aerochasqui	BLP	PCL	Bellavista Airport (BLP/SPBL), Peru	Pucallpa Airport (PCL/SPCL), Peru
APR	passDomestic	13	19910710-0	Beechcraft C99	L'Express Airlines	MOB	BHM	Mobile Municipal Airport, AL (MOB/KMOB), United States of America	Birmingham Airport, AL (BHM/KBHM), United States of America
APR	passInternational	261	19910711-0	McDonnell Douglas DC-8-61		JED	SKO	Jeddah-King Abdulaziz International Airport (JED/OEJN), Saudi Arabia	Sokoto Airport (SKO/DNSO), Nigeria
ICL	passDomestic	1	19910715-0	Antonov 2	Aeroflot	URJ		Uraj Airport (URJ), Russia	?
ICL	other	3	19910722-0	Learjet 23	Jetstream Inc.	DET	MDW	Detroit City Airport, MI (DET/KDET), United States of America	Chicago-Midway Airport, IL (MDW/KMDW), United States of America
ENR	passDomestic	9	19910725-1	Britten-Norman BN-2A-6 Islander	Vanair	OLJ	SON	Olpoi-Lajmoli Airport (OLJ/NVSZ), Vanuatu	Espirítu Santo-Pekoa Airport (SON/NVSS), Vanuatu
MNV	other	2	19910806-0	Canadair CL-215-1A10		GOA		Genoa-Cristoforo Colombo Airport (GOA/LIMJ), Italy	?
APR	passDomestic	6	19910806-1	IRMA/Britten-Norman BN-2A-27 Islander		AIT	RAR	Aitutaki Airport (AIT/NCAI), Cook Islands	Rarotonga Airport (RAR/NCRG), Cook Islands
ENR	cargo	9	19910814-1	Ilyushin 18V	Tarom	OTP	TSR	Bucharest-Otopeni International Airport (OTP/LROP), Romania	Timisoara Airport (TSR/LRTR), Romania
LDG	other	3	19910815-0	Fokker F-27 Friendship 100	Air Bissau	KAN	BKO	Kano International Airport (KAN/DNKN), Nigeria	Bamako Airport (BKO/GABS), Mali
ENR	military	9	19910815-1	Antonov 26	Soviet Air Force	BVV		Petrel-Burevestnik Airport (BVV/UHSB), Russia	?
APR	passDomestic	69	19910816-1	Boeing 737-2A8	Indian Airlines	CCU	IMF	Calcutta-Netaji Subhas Chandra Airport (CCU/VECC), India	Imphal Municipal Airport (IMF/VEIM), India
UNK	passDomestic	4	19910820-0	Britten-Norman BN-2A-26 Islander	Temsco Helicopters	KTN	WRG	Ketchikan International Airport, AK (KTN/PAKT), United States of America	Wrangell Airport, AK (WRG/PAWG), United States of America
ENR	military	4	19910822-0	Alenia G-222TCM	Aeronautica Militare Italiana - AMI	LIRE		Pratica di Mare AB (LIRE), Italy	?
UNK	military	10	19910828-0	Britten-Norman BN-2A-21 Islander	Hukbong Himpapawid ng Pilipinas (Philippine Air Force)			?	?
ICL	passDomestic	3	19910903-0	IRMA/Britten-Norman BN-2A-21 Islander	Dirgantara Air Services	SMQ		Sampit Airport (SMQ/WAOS), Indonesia	?
ENR	passDomestic	14	19910904-0	Shorts SC.7 Skyvan 3-100	Airtech Rajawali Udara	BBN	MUR	Bario Airport (BBN/WBGZ), Malaysia	Marudi Airport (MUR/WBGM), Malaysia
ENR	exec	12	19910904-1	Gulfstream Aerospace G-1159 Gulfstream II			BKI	Tokyo (unknown airport), Japan	Kota Kinabalu Airport (BKI/WBKK), Malaysia
ENR	military	4	19910909-0	GAF Nomad N.22	Royal Australian Army			?	?
ENR	passDomestic	14	19910911-0	Embraer 120RT Brasilia	Jet Link/Continental Express	LRD	IAH	Laredo International Airport, TX (LRD/KLRD), United States of America	Houston-Intercontinental Airport, TX (IAH/KIAH), United States of America
APR	cargo	7	19910916-1	Handley Page HPR-7 Herald 401	LACOL Colombia	BOG	BAQ	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Barranquilla-Ernesto Cortissoz Airport (BAQ/SKBQ), Colombia
TOF	cargo	13	19910916-2	Antonov 74	Aeroflot	UERL	OMS	Lensk Airport (UERL), Russia	Omsk Airport (OMS/UNOO), Russia
ENR	cargo	4	19910917-1	Lockheed L-100-30 Hercules	Ethiopian Airlines	JIB	DIR	Djibouti Airport (JIB/HDAM), Djibouti	Dire Dawa-Aba Tenna D Yilma Airport (DIR/HADR), Ethiopia
ENR	cargo	2	19910918-0	Convair CV-580	Canair Cargo	YQM	YHM	Moncton-Metropolitan Area Airport, NB (YQM/CYQM), Canada	Hamilton Airport, ON (YHM/CYHM), Canada
APR	passDomestic	1	19910923-1	Antonov 12BP	Special Cargo Airlines		UOHH	?	Khatanga (UOHH), Russia
LDG	passInternational	1	19910925-0	Dassault Falcon 20C	Groupair Srl		KEL	Milano (unknown airport), Italy	Kiel-Holtenau Airport (KEL/EDHK), Germany
ENR	passDomestic	15	19910927-1	de Havilland Canada DHC-6 Twin Otter 300	Solomon Islands Airlines	IRA	HIR	Kirakira Airport (IRA), Solomon Islands	Honiara-Henderson International Airport (HIR/AGGH), Solomon Islands
UNK	military	2	19910926-0	Antonov 26	Soviet Air Force	ROV	KBP	Rostov Airport (ROV/URRR), Russia	Kiev-Borispol Airport (KBP/UKBB), Ukraine
LDG	passDomestic	1	19910929-0	Curtiss C-46A-45-CU Commando	CORAL Colombia	VVC		Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	?
ICL	military	135	19911005-0	Lockheed C-130H-30 Hercules	Tentara Nasional Indonesia-AU (Air Force)	HLP	BDO	Jakarta-Halim Perdana Kusuma Airport (HLP/WIHH), Indonesia	Bandung-Husein Sastranegara Airport (BDO/WICC), Indonesia
ENR	other	6	19911011-1	Curtiss C-46D-20-CU Commando	Lineas Aéreas Nacionales - LANSA			?	?
ENR	other	2	19911016-1	Lockheed P-3A Orion	Aero Union	SBA	MSO	Santa Barbara Municipal Airport, CA (SBA/KSBA), United States of America	Missoula-Johnson-Bell Field, MT (MSO/KMSO), United States of America
ENR	passDomestic	17	19911025-0	Britten-Norman BN-2A Trislander Mk.III-2	Bali International Air Service	PKY	SMQ	Palangkaraya Airport (PKY/WAOP), Indonesia	Sampit Airport (SMQ/WAOS), Indonesia
ENR	military	5	19911029-0	Boeing 707-368C	Royal Australian Air Force - RAAF	RAAF	AVV	Richmond RAAF Base, NSW (YSRI), Australia	Avalon Airport, VIC (AVV/YMAV), Australia
APR	passDomestic	51	19911107-0	Yakovlev 40	Aeroflot, North Kavkaz Civil Aviation Directorate	ESL	MCX	Elista Airport (ESL), Russia	Makhachkala Airport (MCX/URML), Russia
APR	military	5	19911030-0	Lockheed CC-130E Hercules	Canadian Armed Forces		YLT	Edmonton (unknown airport), AB, Canada	Alert Airport, NU (YLT/CYLT), Canada
ICL	passDomestic	17	19911111-0	Embraer 110P1 Bandeirante	Nordeste Linhas Aéreas	REC	SSA	Recife-Guararapes International Airport, PE (REC/SBRF), Brazil	Salvador-Dois de Julho International Airport, BA (SSA/SBSV), Brazil
