phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
ICL	cargo	2	19900129-1	Cessna 208B Grand Caravan	Airborne Express	BTV	ALB	Burlington International Airport, VT (BTV/KBTV), United States of America	Albany Airport, NY (ALB/KALB), United States of America
ENR	exec	1	19900130-0	Hawker Siddeley HS-125-3B	Slender You Ltd.	CSV	OJC	Crossville Memorial Airport, TN (CSV/KCSV), United States of America	Kansas City-Johnson Executive Airport, MO (OJC), United States of America
UNK	military	3	19900130-1	Antonov 2	Soviet Air Force			?	?
ICL	military	8	19900201-1	Ilyushin 76M	Soviet Air Force	PNV	PNV	Paneveys-Pajuostis AB (PNV/EYPP), Lithuania	Paneveys-Pajuostis AB (PNV/EYPP), Lithuania
ENR	passDomestic	15	19900205-1	Grumman G-159 Gulfstream I	Helicol Colombia	NVA	IBE	Neiva Airport (NVA/SKNV), Colombia	Ibague-Perales Airport (IBE/SKIB), Colombia
ICL	passDomestic	3	19900212-0	Fokker F-27 Friendship 200	TAM Transportes Aéreos Regionais	CGH	BAU	São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil	Bauru Airport, SP (BAU/SBBU), Brazil
APR	passDomestic	92	19900214-2	Airbus A320-231	Indian Airlines	BOM	BLR	Mumbai (Bombay) Airport (BOM/VABB), India	Bangalore-Hindustan Airport (BLR/VOBG), India
APR	military	29	19900217-0	de Havilland Canada DHC-5D Buffalo	Zambia Air Force	MMQ	LUN	Mbala Airport (MMQ), Zambia	Lusaka Airport (LUN/FLLS), Zambia
APR	cargo	1	19900227-0	Cessna 208A Cargomaster	Federal Express	ASE	DEN	Aspen Airport, CO (ASE/KASE), United States of America	Denver-Stapleton International Airport, CO (DEN/KDEN), United States of America
APR	military	1	19900312-0	GAF Nomad N.24A	Royal Australian Air Force - RAAF	RAAF	RAAF	Edinburgh RAAF Station, SA (YPED), Australia	Edinburgh RAAF Station, SA (YPED), Australia
APR	cargo	3	19900321-0	Lockheed L-188CF Electra	TAN Honduras (Transportes Aéreos Nacionales)	SAP	TGU	San Pedro Sula-Ramon Villeda Morales Airport (SAP/MHLM), Honduras	Tegucigalpa-Toncontin Airport (TGU/MHTG), Honduras
TOF	passDomestic	4	19900323-0	Antonov 26	Cubana de Aviación	SCU		Santiago-Antonio Maceo Airport (SCU/MUCU), Cuba	?
ENR	military	25	19900327-0	CASA C-212-M Aviocar 300	Angolan Government		NOV	?	Huambo Airport (NOV/FNHU), Angola
APR	cargo	11	19900327-1	Ilyushin 76MD		UTKK	KBL	Kokand Airport (UTKK), Uzbekistan	Kabul-Khwaja Rawash Airport (KBL/OAKB), Afghanistan
ENR	other	1	19900405-2	Lockheed C-121S Super Constellation	Aerolineas Mundo - AMSA	SJU	SDQ	San Juan-Luis Muñoz Marín International Airport (SJU/TJSJ), Puerto Rico	Santo Domingo-Las Américas International Airport (SDQ/MDSD), Dominican Republic
LDG	cargo	2	19900406-0	Learjet 25C	Transamérica Táxi Aéreo	SDU	JDF	Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil	Juiz de Fora-Francisco de Assis Airport, MG (JDF/SBJF), Brazil
ICL	passDomestic	5	19900412-0	de Havilland Canada DHC-6 Twin Otter 300	Widerøes Flyveselskap	VRY	BOO	Værøy-Stolport Airport (VRY/ENVY), Norway	Bodø Airport (BOO/ENBO), Norway
ICL	passDomestic	20	19900418-1	de Havilland Canada DHC-6 Twin Otter 200	AeroPerlas	OTD	PAC	Contadora Airport (OTD), Panama	Panama City-Paitilla Airport (PAC/MPMG), Panama
UNK	military	10	19900420-0	Antonov	Afghanistan Government			?	?
UNK	military	20	19900420-1	Lockheed C-130H Hercules	Zaire Air Force			?	?
ICL	passDomestic	7	19900426-1	Douglas C-47A-30-DK (DC-3)	Manila Aero Transport System - MATS	MNL	RXS	Manila International Airport (MNL/RPLL), Philippines	Roxas City Airport (RXS/RPVR), Philippines
APR	passDomestic	1	19900430-0	Beechcraft C99	Frontier Air	YTS	YMO	Timmins Airport, ON (YTS/CYTS), Canada	Moosonee Airport, ON (YMO/CYMO), Canada
ENR	military	10	19900430-2	Avro Shackleton AEW.2	Royal Air Force - RAF	LMO	BEB	Lossiemouth RAF Station (LMO/EGQS), United Kingdom	Benbecula Airport (BEB/EGPL), United Kingdom
LDG	cargo	2	19900504-1	GAF Nomad N.24A	Tar Heel Aviation	RDU	ILM	Raleigh/Durham Airport, NC (RDU/KRDU), United States of America	Wilmington-New Hanover County Airport, NC (ILM/KILM), United States of America
ICL	cargo	27	19900505-0	Douglas DC-6BF	Aerial Transit Company	GUA	MIA	Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala	Miami International Airport, FL (MIA/KMIA), United States of America
APR	passDomestic	21	19900510-0	Fairchild F-27J		TAP	TGZ	Tapachula International Airport (TAP/MMTP), Mexico	Tuxtla Gutiérrez Airport (TGZ/MMTG), Mexico
ENR	passDomestic	11	19900511-0	Cessna 500 Citation I	Air North Queensland	PPP	MRG	Prosperine Airport, QLD (PPP/YBPN), Australia	Mareeba Airport, QLD (MRG/YMBA), Australia
